locality,unified_locality
mechelen,mechelen
kessel-lo,kessel-lo
schaerbeek,schaerbeek
uccle,uccle
ledeberg,ledeberg
sint-pieters-woluwe,sint-pieters-woluwe
erembodegem,erembodegem
oudenaarde,oudenaarde
vosselaar,vosselaar
brugge sint-kruis,brugge sint-kruis
brugge,brugge
gent,gent
schilde,schilde
de pinte,de pinte
antwerpen ekeren,antwerpen ekeren
maasmechelen,maasmechelen
mol,mol
deurne,veurne
mortsel,mortsel
mortsel,mortsel
herentals,herentals
temse,temse
antwerpen,antwerpen
berchem,merchtem
berchem,merchtem
antwerpen,antwerpen
niel,niel
herzele,herzele
geluwe,geluwe
oosterzele,oosterzele
bruxelles,bruxelles
ruddervoorde,ruddervoorde
polleur,polleur
de panne,de panne
hove,hove
uccle,uccle
rochefort,rochefort
drongen,drongen
oudenaarde,oudenaarde
de haan,de haan
middelkerke,middelkerke
libramont-chevigny,libramont-chevigny
deurne,veurne
saint-gilles,saint-gilles
nijlen,nijlen
borsbeek,borsbeek
antwerpen,antwerpen
mechelen,mechelen
sint-niklaas,sint-niklaas
stekene,stekene
saint-nicolas,saint-nicolas
woluwe-saint-lambert,woluwe-saint-lambert
antwerpen,antwerpen
deurne,veurne
deurne,veurne
overijse,overijse
maldegem,maldegem
zeebrugge,brugge
outer,outer
aarschot,aarschot
torhout,torhout
petegem-aan-de-leie,petegem-aan-de-leie
saint-nicolas,saint-nicolas
ekeren,ekeren
sinaai-waas,sinaai-waas
turnhout,turnhout
antwerpen,antwerpen
turnhout,turnhout
aubange halanzy,aubange halanzy
aubange halanzy,aubange halanzy
gent,gent
bekkevoort,bekkevoort
antwerpen-zuid,antwerpen-zuid
geel,geel
geel,geel
mol,mol
deurne,veurne
antwerpen (),antwerpen
leuven,leuven
vaux-sur-sûre,vaux-sur-sûre
antwerpen,antwerpen
desselgem,dessel
antwerpen,antwerpen
antwerpen,antwerpen
nivelles,nivelles
berchem,merchtem
antwerpen,antwerpen
berchem,merchtem
deurne,veurne
ixelles,ixelles
woluwe-saint-pierre,woluwe-saint-pierre
antwerpen ,antwerpen
knokke,knokke
sint-niklaas,sint-niklaas
aalst,aalst
turnhout,turnhout
turnhout,turnhout
turnhout,turnhout
turnhout,turnhout
dessel,dessel
dessel,dessel
oud-turnhout,oud-turnhout
turnhout,turnhout
laeken,laeken
vosselaar,vosselaar
oostende,oostende
evergem,evergem
berchem-sainte-agathe,berchem-sainte-agathe
herent,herent
seraing,seraing
relegem,relegem
ronse,ronse
gooik,gooik
de haan,de haan
woluwe-saint-pierre,woluwe-saint-pierre
hamme,hamme
deurne,veurne
gent,gent
antwerpen,antwerpen
koekelare,koekelare
eeklo,eeklo
lede,lede
meldert,meldert
etterbeek,etterbeek
woluwe-saint-pierre,woluwe-saint-pierre
auderghem,auderghem
